Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
perkMedicTeamplayer1Name,progression,perk Med,,,Symbiotic Health,,共生生命
perkMedicTeamplayer1Desc,progression,perk Med,,,"Heal others to heal yourself",,给人打针活该加血
perkMedicTeamplayer1LongDesc,progression,perk Med,,,"Healing teammates with medic weapons heals yourself 15 HP.",,使用医疗武器治疗友军同时治疗你自己15生命值。
perkMedicTeamplayer2Name,progression,perk Med,,,Adrenaline Shot,,肾上腺素针
perkMedicTeamplayer2Desc,progression,perk Med,,,"DON'T YOU STAB THAT THING IN ME!",,你 不 要 过 来 啊 我 不 想 打 针
perkMedicTeamplayer2LongDesc,progression,perk Med,,,"Shoot your teammates with a healing dart to increase their movement speed by 20% for 8 seconds.",,使用医疗武器命中友军增加他们20%移动速度，持续8秒。
perkMedicTeamplayer3Name,progression,perk Med,,,Life Transition,,生命转换
perkMedicTeamplayer3Desc,progression,perk Med,,,"Is this some cult ceremony?",,邪教仪式？
perkMedicTeamplayer3LongDesc,progression,perk Med,,,"Medic stock regeneration increased by 50% when your health is above 75%.",,生命值高于75%时增加50%医疗储备回复速度。
perkMedicTeamplayer4Name,progression,perk Med,,,Focus Injection,,专注射击
perkMedicTeamplayer4Desc,progression,perk Med,,,"You need to take your time in a hurry.",,你得在慌乱之中慢慢来。
perkMedicTeamplayer4LongDesc,progression,perk Med,,,"Shooting teammates with healing darts increases the damage they inflict by 20% for 8 seconds.",,使用医疗武器命中友军增加20%他们造成的伤害，持续8秒。
perkMedicTeamplayer5Name,progression,perk Med,,,Shiny Skin,,皮肤保养
perkMedicTeamplayer5Desc,progression,perk Med,,,"One dart a day keeps the zombies away.",,
perkMedicTeamplayer5LongDesc,progression,perk Med,,,"Shooting teammates with healing darts removes bleeding. All buffs you apply to teammates will apply to yourself too.",,使用医疗武器命中友军会移除流血，治疗擦伤。所有施加在队友身上的buff同样应用于自己。
perkMedicSurvivor1Name,progression,perk Med,,,Mine Now,,我的了
perkMedicSurvivor1Desc,progression,perk Med,,,"To all those who have, more will be given, and they will have an abundance; but from those who have nothing, even what they have will be taken away.",,凡有的，还要加给他，叫他多余；没有的，连他所有的也要夺过来。
perkMedicSurvivor1LongDesc,progression,perk Med,,,"Healing darts that hit zombies will heal you.",,医疗子弹击中僵尸会回复你的生命值。
perkMedicSurvivor2Name,progression,perk Med,,,Rotten Rot,,烂上加烂
perkMedicSurvivor2Desc,progression,perk Med,,,This might sting a bit.,,这个可能有点疼。
perkMedicSurvivor2LongDesc,progression,perk Med,,,"Medic weapons deal 25% more damage on poisoned targets.",,医疗武器对中毒目标增加25%伤害。
perkMedicSurvivor3Name,progression,perk Med,,,Survival Instinct,,生存本能
perkMedicSurvivor3Desc,progression,perk Med,,,"Turns out it's true, blood is thicker than water.",,血浓于水。
perkMedicSurvivor3LongDesc,progression,perk Med,,,"Killing targets with medic weapons doubles medic stock regeneration for 10 seconds.",,医疗武器击杀目标会让医疗储备回复速度变为双倍，持续10秒。
perkMedicSurvivor4Name,progression,perk Med,,,"I'm a medic, not doctor",,我是战地医师，不是医生。
perkMedicSurvivor4Desc,progression,perk Med,,,"Kills even better than it heals!",,拿这玩意儿杀僵尸可比奶人爽多了！
perkMedicSurvivor4LongDesc,progression,perk Med,,,"Medic weapons increase entity damage and reload speed increased by 20%. Medic weapon degradation is reduced by 50%.",,医疗武器伤害和换弹速度提高20%。医疗武器耗损速度降低50%。
perkMedicSurvivor5Name,progression,perk Med,,,Concentrated Solution,,浓缩剂
perkMedicSurvivor5Desc,progression,perk Med,,,"It's not excessive if it dissolves.",,只要还能继续溶就不算超标。
perkMedicSurvivor5LongDesc,progression,perk Med,,,"Healing darts and grenades have a 50% chance to cripple target. Dealing headshots with healing darts knock down crippled targets. Killing poisoned target restores 15 medic stock for you.",,医疗子弹有50%几率致残敌人。使用医疗子弹爆头命中被致残的敌人会将其击倒，且击杀敌人时回复15点医疗储备。
modMedicModule,item_modifiers,mod,,,Medic Mod,,医疗模组
modMedicModuleDesc,item_modifiers,mod,,,"Can only be installed in Medic Guns. Allows medics to heal other players and benefit from other skills when using Alt Fire Secondary Mode. Causes zombies to lose health, among other things.",,只能安装于医疗武器上。解锁次要模式以发射医疗子弹治疗队友，或者使僵尸中毒。
modMedicModuleSchematic,item_modifiers,Mod,,,Medic Mod Schematic,,医疗模组配方
gunMedicPistol,items,Gun,,,HMTech-101 Pistol,,HMTech-101医疗手枪
gunMedicPistolDesc,items,Gun,,,The HMTech-101 Pistol.\n\nFire mode is semi-auto only. Primary mode shoots 9mm rounds. Secondary mode shoots healing darts to heal team members.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Brawler type.\n\nRepair with Medic Gun Repair Kit.,,HMTech-101医疗手枪。\n\n射击模式为单发，主要模式发射9mm子弹，次要模式射出医疗子弹治疗队友。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为搏斗类型。\n\n使用医疗武器修复套件修理。
gunMedicSMG201,items,Gun,,,"HMTech-201 SMG",,"HMTech-201冲锋枪"
gunMedicSMG201Desc,items,Gun,,,"The HMTech-201 SMG.\n\nFire mode is semi-auto only. Primary mode shoots 9mm rounds. Secondary mode shoots healing darts to heal team members.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.\n\nRepair with Medic Gun Repair Kit.\n\nYour pistol, beefed up!",,"HMTech-201冲锋枪。\n\n射击模式全自动，主要模式发射9mm子弹，次要模式射出医疗子弹治疗队友。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。\n\n使用医疗武器修复套件修理。\n\n加强版的医疗手枪，让您如虎添翼！"
gunMedicShotgun301,items,Gun,,,HMTech-301 SG,,HMTech-301霰弹枪
gunMedicShotgun301Desc,items,Gun,,,The HMTech-301 Shotgun.\n\nFire mode is full-auto only. Primary mode shoots shotgun ammo. Secondary mode shoots healing dart to heal team members.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.\n\nRepair with Medic Gun Repair Kit.\n\nThe combat shotgun version for the Field Medic.,,HMTech-301霰弹枪。\n\n射击模式仅全自动，主要模式发射霰弹枪子弹，次要模式射出医疗子弹治疗队友。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。\n\n使用医疗武器修复套件修理。\n\n医疗手枪的战斗霰弹枪版本。
gunMedicAssaultRifle401,items,Gun,,,HMTech-401 AR,,HMTech-401突击步枪
gunMedicAssaultRifle401Desc,items,Gun,,,The HMTech-401 Assault Rifle.\n\nFire mode is full-auto only. Primary mode shoots 7.62mm rounds. Secondary mode shoots healing darts to heal team members.\n\nUse [action:KFLibPlayerActions:PerformAltMelee] to bash. Bashing is Club type.\n\nRepair with Medic Gun Repair Kit.\n\nThe full-blown assault rifle version.,,HMTech-401突击步枪。\n\n射击模式仅全自动，主要模式发射7.62mm子弹，次要模式射出医疗子弹治疗队友。\n\n使用[action:KFLibPlayerActions:PerformAltMelee]推击。推击为棍棒类型。\n\n使用医疗武器修复套件修理\n\n医疗手枪的完全体突击步枪。
thrownAmmoMedicGrenade,items,Gun,,,Medic Grenade,,医疗手雷
thrownAmmoMedicGrenadeDesc,items,Gun,,,The Medic Grenade. Emit healing gas on impact, lasting for 15s.,,医疗手雷。撞击时释放医疗气体，持续15秒。
buffMedicBuffStockName,buffs,Buff,,,Medic Stock,,医疗储备
buffMedicBuffStockLongDesc,buffs,Buff,,,This is the thing you use to heal your allies.,,用于治疗队友。
buffMedicHealName,buffs,Buff,,,Medic Healing,,治疗量
buffMedicHealLongDesc,buffs,Buff,,,You are healed.,,你得到了治疗。
buffMedicBoostName,buffs,Buff,,,Restock,,快速补给
buffMedicBoostLongDesc,buffs,Buff,,,Double medic stock regeneration.,,双倍医疗储备回复速度。
buffMedicInfiniteName,buffs,Buff,,,Infinite Stock,,无限储备
buffMedicInfiniteLongDesc,buffs,Buff,,,Medic darts no longer consume stock.,,医疗针不再消耗医疗储备。
buffMedicAdrenalineName,buffs,Buff,,,Medic Adrenaline,,战地医生的肾上腺素
buffMedicAdrenalineLongDesc,buffs,Buff,,,Run faster.,,跑得快。
buffMedicFocusName,buffs,Buff,,,Medic Focus,,根性！
buffMedicFocusLongDesc,buffs,Buff,,,Deal more damage.,,造成更多伤害。
buffMedicEliteHealingName,buffs,Buff,,,Healing boost,,治疗加速
buffMedicEliteHealingLongDesc,buffs,Buff,,,Heal faster.,,更快的治疗。
buffZedTimeCooldownName,buffs,Buff,,,Zed Time cooldown,,丧尸时间冷却
buffZedTimeCooldownLongDesc,buffs,Buff,,,You can't trigger another zed time now.,,当前无法触发丧尸时间。

medicgunsSkillMagazine,items,Gun,,,Medic Guns,,医疗武器
medicgunsSkillMagazineDesc,items,Gun,,,Grab the latest in high tech medic guns and learn how to be a combat medic!\n\nImproves medic guns.,,学习如何制作最先进的医疗武器并成为一名战地医师！\n\n提高医疗武器制作等级。
craftingMedicGunsLongDesc,progression,Attribute,,x,CURRENTLY NOT USED,,,
craftingMedicGunsDesc,progression,Attribute,,,Reading [DECEA3]Medic Guns[-] will increase the quality of crafted medic guns.\nBoost loot odds with [DECEA3]The Medic[-],,阅读[DECEA3]医疗武器杂志[-]会提高医疗武器的制作等级。\n\n增加[DECEA3]战地医师[-]天赋相关掉落物的获取概率。
craftingMedicGunsName,progression,Attribute,,,Medic Guns,,医疗武器
resourceMedicGunRepairKit,items,Item,,,Medic Gun Repair Kit,,医疗武器修复套件
resourceMedicGunRepairKitDesc,items,Item,,,"Medic Gun Repair Kits are used to repair Medic Guns.",,用于维修医疗武器。
resourceMedicGunRepairKitBundle,items,Item,,,Medic Gun Repair Kit Bundle,,医疗武器修复套件包
resourceMedicGunRepairKitBundleDesc,items,Item,,,"Medic Gun Repair Kit Bundles provide 10 Medic Gun Repair Kits. They are made on the Workbench using 20% less resources than the same amount of individual kits. They can be carried in compact stacks until required.",,获得10个医疗武器修复套件。可在工作台制作，且打包制作比单独制作少消耗20%材料。
